propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-09-18,SO2M2M,2,4,147.32,4.17,73.66
USTX230301,920,2023-09-18,SO2EXP,5,11,334.65,9.48,66.93
USTX230301,920,2023-09-18,SO2BK,1,2,79.20,2.24,79.20
USTX230301,920,2023-09-18,SGML,2,4,164.70,4.67,82.35
USTX230301,920,2023-09-18,SCPM,10,23,850.95,24.11,85.10
USTX230301,920,2023-09-18,SBOOK,1,2,94.00,2.66,94.00
USTX230301,920,2023-09-18,SAPR2M,1,2,97.47,2.76,97.47
USTX230301,920,2023-09-18,S3A,3,6,249.30,7.06,83.10
USTX230301,920,2023-09-18,BAR,3,6,272.00,7.71,90.67
USTX230301,920,2023-09-18,NO SHOW,0,0,107.26,3.04,0.00
USTX230301,920,2023-09-18,LWTO,2,4,137.25,3.89,68.63
USTX230301,920,2023-09-18,LOPQ2,1,2,62.30,1.76,62.30
USTX230301,920,2023-09-18,LEXP,7,16,544.32,15.42,77.76
USTX230301,920,2023-09-18,LCLC,1,2,61.00,1.73,61.00
USTX230301,920,2023-09-18,LCAPE,1,2,84.00,2.38,84.00
USTX230301,920,2023-09-19,SSC,2,2,160.20,2.73,80.10
USTX230301,920,2023-09-19,SRTL,1,1,89.00,1.52,89.00
USTX230301,920,2023-09-19,SRD Rate,1,1,34.33,0.59,34.33
USTX230301,920,2023-09-19,SO2M2M,0,0,7.43,0.13,0.00
USTX230301,920,2023-09-19,SO2EXP,4,4,271.48,4.63,67.87
USTX230301,920,2023-09-19,SGML,1,1,80.10,1.37,80.10
USTX230301,920,2023-09-19,SCR,1,1,84.55,1.44,84.55
USTX230301,920,2023-09-19,SCPM,5,5,427.80,7.30,85.56
USTX230301,920,2023-09-19,SBOOK,4,4,371.00,6.33,92.75
USTX230301,920,2023-09-19,S3A,4,4,329.40,5.62,82.35
USTX230301,920,2023-09-19,BAR,2,2,178.00,3.04,89.00
USTX230301,920,2023-09-19,NO SHOW,0,0,(110.46),(1.88),0.00
USTX230301,920,2023-09-19,LWTO,1,1,70.50,1.20,70.50
USTX230301,920,2023-09-19,LTRAV,48,55,"2,928.00",49.94,61.00
USTX230301,920,2023-09-19,LOPQ2,4,4,249.20,4.25,62.30
USTX230301,920,2023-09-19,LEXP2,1,1,68.52,1.17,68.52
